user_id,ad_click_date,landing_page_view_date,signup_date,trial_date,purchase_date,campaign,channel
user_33,2024-01-26,2024-01-26,2024-01-27,,,Holiday Blitz,Instagram
user_34,2024-01-22,2024-01-22,2024-01-25,,,Holiday Blitz,YouTube
user_35,2024-01-29,2024-01-29,2024-02-01,,,Holiday Blitz,Google Ads
user_36,2024-01-12,,,,,Winter Promo,YouTube
user_37,2024-01-25,2024-01-25,2024-01-28,2024-01-29,2024-02-01,Winter Promo,YouTube
user_38,2024-01-17,2024-01-17,,,,Holiday Blitz,YouTube
user_39,2024-01-27,2024-01-27,2024-01-30,,,Spring Launch,YouTube
user_40,2024-01-27,2024-01-27,2024-01-30,2024-01-31,2024-02-02,Winter Promo,Email
user_41,2024-01-10,2024-01-10,2024-01-11,2024-01-12,,Holiday Blitz,TikTok
user_42,2024-01-28,2024-01-28,2024-01-30,,,Holiday Blitz,Email
user_43,2024-01-28,,,,,Holiday Blitz,Google Ads
user_44,2024-01-16,2024-01-16,2024-01-18,,,Spring Launch,Google Ads
user_45,2024-01-15,2024-01-15,,,,Holiday Blitz,Instagram
user_46,2024-01-30,2024-01-30,,,,Winter Promo,Google Ads
user_47,2024-01-30,2024-01-30,2024-01-31,2024-02-02,,Spring Launch,Email
user_48,2024-01-15,2024-01-15,,,,Spring Launch,Google Ads
user_49,2024-01-30,2024-01-30,2024-01-31,2024-02-01,,Holiday Blitz,Instagram
user_50,2024-01-19,2024-01-19,2024-01-20,2024-01-22,2024-01-26,Winter Promo,Instagram
user_51,2024-01-12,2024-01-12,,,,Winter Promo,Email
user_52,2024-01-23,2024-01-23,2024-01-24,,,Holiday Blitz,Google Ads
user_53,2024-01-20,2024-01-20,2024-01-23,2024-01-25,,Holiday Blitz,TikTok
user_54,2024-01-25,2024-01-25,2024-01-28,,,Winter Promo,Instagram
user_55,2024-01-03,2024-01-03,2024-01-06,2024-01-07,,Spring Launch,Google Ads
user_56,2024-01-05,2024-01-05,2024-01-08,2024-01-09,,Spring Launch,Google Ads
user_57,2024-01-19,2024-01-19,2024-01-22,2024-01-23,,Holiday Blitz,TikTok
user_58,2024-01-07,2024-01-07,2024-01-08,2024-01-09,2024-01-12,Holiday Blitz,Email
user_59,2024-01-21,,,,,Winter Promo,Email
user_60,2024-01-09,2024-01-09,,,,Winter Promo,Google Ads
user_61,2024-01-07,2024-01-07,2024-01-10,2024-01-11,,Winter Promo,YouTube
user_62,2024-01-18,,,,,Winter Promo,YouTube
user_63,2024-01-04,2024-01-04,,,,Holiday Blitz,Facebook
user_64,2024-01-25,2024-01-25,,,,Holiday Blitz,Facebook
user_65,2024-01-28,2024-01-28,,,,Winter Promo,Facebook
user_66,2024-01-14,2024-01-14,2024-01-15,,,Holiday Blitz,Email
user_67,2024-01-18,2024-01-18,2024-01-19,2024-01-21,,Holiday Blitz,Google Ads
user_68,2024-01-26,2024-01-26,2024-01-27,2024-01-28,2024-01-29,Winter Promo,TikTok
user_69,2024-01-09,2024-01-09,,,,Spring Launch,TikTok
user_70,2024-01-26,2024-01-26,2024-01-29,2024-01-31,2024-02-03,Spring Launch,Instagram
user_71,2024-01-21,2024-01-21,2024-01-24,,,Winter Promo,Google Ads
user_72,2024-01-02,2024-01-02,2024-01-04,2024-01-06,,Spring Launch,Google Ads
user_73,2024-01-20,2024-01-20,,,,Holiday Blitz,Facebook
user_74,2024-01-28,2024-01-28,2024-01-31,2024-02-01,,Spring Launch,Google Ads
user_75,2024-01-15,,,,,Winter Promo,TikTok
user_76,2024-01-28,,,,,Winter Promo,Facebook
user_77,2024-01-07,2024-01-07,,,,Spring Launch,Google Ads
user_78,2024-01-12,,,,,Spring Launch,Instagram
user_79,2024-01-29,2024-01-29,2024-02-01,2024-02-03,,Holiday Blitz,YouTube
user_80,2024-01-08,,,,,Spring Launch,YouTube
user_81,2024-01-15,2024-01-15,2024-01-16,2024-01-17,,Spring Launch,Email
user_82,2024-01-03,2024-01-03,,,,Spring Launch,Instagram
user_83,2024-01-14,2024-01-14,2024-01-15,2024-01-17,,Holiday Blitz,TikTok
user_84,2024-01-17,2024-01-17,2024-01-19,,,Spring Launch,Google Ads
user_85,2024-01-04,2024-01-04,,,,Holiday Blitz,Instagram
user_86,2024-01-18,2024-01-18,,,,Holiday Blitz,Google Ads
user_87,2024-01-08,2024-01-08,2024-01-10,2024-01-11,2024-01-15,Winter Promo,Instagram
user_88,2024-01-04,2024-01-04,2024-01-06,2024-01-07,2024-01-11,Winter Promo,Instagram
user_89,2024-01-02,2024-01-02,,,,Holiday Blitz,YouTube
user_90,2024-01-30,2024-01-30,2024-01-31,2024-02-02,,Holiday Blitz,Instagram
user_91,2024-01-06,2024-01-06,,,,Holiday Blitz,Email
user_92,2024-01-22,2024-01-22,,,,Winter Promo,Google Ads
user_93,2024-01-10,2024-01-10,2024-01-12,2024-01-13,,Holiday Blitz,Facebook
user_94,2024-01-04,2024-01-04,,,,Winter Promo,Instagram
user_95,2024-01-22,2024-01-22,2024-01-24,2024-01-25,2024-01-28,Winter Promo,Facebook
user_96,2024-01-29,,,,,Holiday Blitz,YouTube
user_97,2024-01-18,2024-01-18,2024-01-19,2024-01-21,2024-01-23,Holiday Blitz,Facebook
user_98,2024-01-26,2024-01-26,,,,Holiday Blitz,Email
user_99,2024-01-12,,,,,Winter Promo,Email
user_100,2024-01-02,2024-01-02,,,,Spring Launch,YouTube
user_101,2024-01-10,2024-01-10,,,,Holiday Blitz,TikTok
user_102,2024-01-30,2024-01-30,2024-01-31,2024-02-01,,Spring Launch,Email
user_103,2024-01-04,2024-01-04,2024-01-06,2024-01-07,,Spring Launch,Google Ads
user_104,2024-01-14,2024-01-14,,,,Spring Launch,TikTok
user_105,2024-01-16,2024-01-16,,,,Spring Launch,Email
user_106,2024-01-15,2024-01-15,,,,Spring Launch,TikTok
user_107,2024-01-08,,,,,Winter Promo,Instagram
user_108,2024-01-14,2024-01-14,2024-01-17,2024-01-19,2024-01-21,Winter Promo,Email
user_109,2024-01-23,2024-01-23,2024-01-24,,,Winter Promo,TikTok
user_110,2024-01-28,2024-01-28,2024-01-31,,,Spring Launch,Google Ads
user_111,2024-01-25,2024-01-25,,,,Winter Promo,YouTube
user_112,2024-01-30,2024-01-30,2024-02-02,2024-02-03,2024-02-04,Holiday Blitz,Email
user_113,2024-01-08,2024-01-08,,,,Spring Launch,Google Ads
user_114,2024-01-21,2024-01-21,2024-01-24,2024-01-26,,Holiday Blitz,Instagram
user_115,2024-01-16,2024-01-16,2024-01-17,2024-01-18,,Spring Launch,Facebook
user_116,2024-01-13,2024-01-13,2024-01-15,2024-01-16,,Spring Launch,Facebook
user_117,2024-01-18,2024-01-18,2024-01-20,,,Spring Launch,YouTube
user_118,2024-01-15,2024-01-15,,,,Spring Launch,YouTube
user_119,2024-01-21,2024-01-21,2024-01-23,2024-01-25,2024-01-27,Holiday Blitz,Facebook
user_120,2024-01-24,2024-01-24,2024-01-25,2024-01-26,2024-01-27,Spring Launch,Facebook
user_121,2024-01-26,2024-01-26,2024-01-27,2024-01-29,2024-02-01,Spring Launch,YouTube
user_122,2024-01-25,2024-01-25,,,,Winter Promo,Facebook
user_123,2024-01-28,2024-01-28,,,,Spring Launch,Email
user_124,2024-01-28,,,,,Spring Launch,TikTok
user_125,2024-01-28,2024-01-28,,,,Spring Launch,Google Ads
user_126,2024-01-13,,,,,Spring Launch,TikTok
user_127,2024-01-09,2024-01-09,2024-01-11,2024-01-12,,Spring Launch,YouTube
user_128,2024-01-29,,,,,Spring Launch,Google Ads
user_129,2024-01-15,2024-01-15,2024-01-18,2024-01-20,,Holiday Blitz,Instagram
user_130,2024-01-13,,,,,Holiday Blitz,Instagram
user_131,2024-01-01,,,,,Spring Launch,Email
user_132,2024-01-25,2024-01-25,,,,Holiday Blitz,Instagram
user_133,2024-01-07,,,,,Winter Promo,YouTube
user_134,2024-01-09,2024-01-09,2024-01-10,,,Winter Promo,Email
user_135,2024-01-24,2024-01-24,,,,Spring Launch,TikTok
user_136,2024-01-01,2024-01-01,2024-01-03,2024-01-04,2024-01-06,Spring Launch,Email
user_137,2024-01-12,2024-01-12,2024-01-13,2024-01-14,,Holiday Blitz,YouTube
user_138,2024-01-08,2024-01-08,2024-01-09,2024-01-10,2024-01-13,Winter Promo,Facebook
user_139,2024-01-24,2024-01-24,2024-01-25,2024-01-26,2024-01-27,Spring Launch,Google Ads
user_140,2024-01-11,,,,,Winter Promo,YouTube
user_141,2024-01-19,2024-01-19,2024-01-22,2024-01-24,,Holiday Blitz,Facebook
user_142,2024-01-17,2024-01-17,,,,Spring Launch,Facebook
user_143,2024-01-08,,,,,Spring Launch,Instagram
user_144,2024-01-03,,,,,Spring Launch,TikTok
user_145,2024-01-03,,,,,Winter Promo,Email
user_146,2024-01-01,2024-01-01,2024-01-03,2024-01-05,,Holiday Blitz,Email
user_147,2024-01-27,,,,,Winter Promo,Instagram
user_148,2024-01-05,2024-01-05,2024-01-06,,,Winter Promo,Instagram
user_149,2024-01-10,2024-01-10,2024-01-11,2024-01-13,,Spring Launch,Email
user_150,2024-01-07,2024-01-07,2024-01-09,,,Holiday Blitz,YouTube
user_151,2024-01-26,2024-01-26,2024-01-28,2024-01-29,2024-01-31,Holiday Blitz,YouTube
user_152,2024-01-09,2024-01-09,2024-01-11,,,Spring Launch,YouTube
user_153,2024-01-28,2024-01-28,2024-01-31,,,Holiday Blitz,YouTube
user_154,2024-01-07,2024-01-07,2024-01-08,2024-01-09,,Spring Launch,Instagram
user_155,2024-01-09,2024-01-09,,,,Spring Launch,Google Ads
user_156,2024-01-08,2024-01-08,2024-01-11,2024-01-12,,Holiday Blitz,Google Ads
user_157,2024-01-12,2024-01-12,2024-01-13,,,Holiday Blitz,Email
user_158,2024-01-02,2024-01-02,2024-01-03,,,Holiday Blitz,Google Ads
user_159,2024-01-01,2024-01-01,2024-01-04,,,Holiday Blitz,YouTube
user_160,2024-01-16,2024-01-16,2024-01-17,2024-01-19,,Winter Promo,Instagram
user_161,2024-01-23,2024-01-23,,,,Spring Launch,YouTube
user_162,2024-01-23,,,,,Spring Launch,Facebook
user_163,2024-01-30,2024-01-30,,,,Spring Launch,Instagram
user_164,2024-01-24,2024-01-24,,,,Spring Launch,Facebook
user_165,2024-01-05,2024-01-05,2024-01-06,2024-01-07,,Winter Promo,Facebook
user_166,2024-01-03,2024-01-03,2024-01-04,2024-01-06,2024-01-09,Holiday Blitz,Email
user_167,2024-01-12,2024-01-12,,,,Holiday Blitz,Facebook
user_168,2024-01-08,2024-01-08,2024-01-11,,,Holiday Blitz,Google Ads
user_169,2024-01-22,2024-01-22,2024-01-24,2024-01-25,2024-01-28,Spring Launch,Google Ads
user_170,2024-01-27,2024-01-27,,,,Winter Promo,Facebook
user_171,2024-01-03,2024-01-03,,,,Winter Promo,Email
user_172,2024-01-01,2024-01-01,2024-01-03,2024-01-05,,Holiday Blitz,Facebook
user_173,2024-01-03,2024-01-03,2024-01-04,,,Spring Launch,Instagram
user_174,2024-01-05,2024-01-05,,,,Holiday Blitz,Instagram
user_175,2024-01-15,2024-01-15,,,,Spring Launch,Instagram
user_176,2024-01-14,2024-01-14,,,,Holiday Blitz,Instagram
user_177,2024-01-03,,,,,Holiday Blitz,Facebook
user_178,2024-01-01,,,,,Winter Promo,YouTube
user_179,2024-01-05,2024-01-05,2024-01-07,,,Spring Launch,YouTube
user_180,2024-01-26,2024-01-26,2024-01-29,2024-01-30,,Winter Promo,TikTok
user_181,2024-01-23,2024-01-23,2024-01-24,,,Winter Promo,Instagram
user_182,2024-01-14,2024-01-14,,,,Holiday Blitz,TikTok
user_183,2024-01-07,2024-01-07,,,,Spring Launch,TikTok
user_184,2024-01-27,,,,,Spring Launch,Email
user_185,2024-01-09,,,,,Holiday Blitz,Email
user_186,2024-01-15,2024-01-15,2024-01-16,2024-01-18,2024-01-19,Holiday Blitz,Facebook
user_187,2024-01-15,2024-01-15,,,,Holiday Blitz,YouTube
user_188,2024-01-26,2024-01-26,2024-01-28,,,Spring Launch,Facebook
user_189,2024-01-10,2024-01-10,2024-01-12,2024-01-13,,Holiday Blitz,Google Ads
user_190,2024-01-28,2024-01-28,2024-01-29,2024-01-31,2024-02-02,Holiday Blitz,Instagram
user_191,2024-01-13,2024-01-13,2024-01-16,2024-01-17,,Winter Promo,Google Ads
user_192,2024-01-19,2024-01-19,,,,Holiday Blitz,Google Ads
user_193,2024-01-07,2024-01-07,2024-01-09,,,Holiday Blitz,TikTok
user_194,2024-01-17,2024-01-17,2024-01-20,2024-01-22,,Spring Launch,Email
user_195,2024-01-20,,,,,Holiday Blitz,YouTube
user_196,2024-01-29,2024-01-29,2024-01-31,,,Spring Launch,TikTok
user_197,2024-01-04,2024-01-04,,,,Winter Promo,TikTok
user_198,2024-01-30,2024-01-30,2024-01-31,,,Winter Promo,Instagram
user_199,2024-01-05,2024-01-05,2024-01-06,2024-01-07,2024-01-08,Spring Launch,Facebook
user_200,2024-01-23,2024-01-23,,,,Holiday Blitz,Instagram
user_201,2024-01-07,2024-01-07,2024-01-08,,,Spring Launch,Facebook
user_202,2024-01-13,,,,,Holiday Blitz,Facebook
user_203,2024-01-15,2024-01-15,2024-01-18,2024-01-20,,Holiday Blitz,YouTube
user_204,2024-01-11,,,,,Holiday Blitz,Google Ads
user_205,2024-01-29,2024-01-29,,,,Spring Launch,Facebook
user_206,2024-01-04,2024-01-04,,,,Winter Promo,YouTube
user_207,2024-01-13,2024-01-13,2024-01-16,,,Spring Launch,Google Ads
user_208,2024-01-07,2024-01-07,2024-01-10,2024-01-11,,Holiday Blitz,TikTok
user_209,2024-01-27,2024-01-27,2024-01-28,,,Spring Launch,TikTok
user_210,2024-01-19,2024-01-19,2024-01-22,2024-01-24,,Winter Promo,Google Ads
user_211,2024-01-22,2024-01-22,2024-01-24,2024-01-25,,Spring Launch,Instagram
user_212,2024-01-28,,,,,Winter Promo,Instagram
user_213,2024-01-02,,,,,Winter Promo,Instagram
user_214,2024-01-10,,,,,Holiday Blitz,Email
user_215,2024-01-13,2024-01-13,2024-01-16,,,Winter Promo,Google Ads
user_216,2024-01-30,2024-01-30,2024-02-01,,,Spring Launch,Email
user_217,2024-01-25,2024-01-25,,,,Spring Launch,Instagram
user_218,2024-01-21,2024-01-21,2024-01-24,2024-01-26,,Holiday Blitz,YouTube
user_219,2024-01-06,2024-01-06,2024-01-07,,,Spring Launch,Instagram
user_220,2024-01-28,2024-01-28,,,,Holiday Blitz,Facebook
user_221,2024-01-28,2024-01-28,2024-01-30,2024-02-01,,Spring Launch,YouTube
user_222,2024-01-12,2024-01-12,2024-01-13,2024-01-15,2024-01-18,Spring Launch,YouTube
user_223,2024-01-12,,,,,Winter Promo,Google Ads
user_224,2024-01-20,2024-01-20,,,,Winter Promo,Email
user_225,2024-01-30,2024-01-30,,,,Winter Promo,Facebook
user_226,2024-01-30,2024-01-30,2024-02-02,2024-02-03,2024-02-04,Spring Launch,YouTube
user_227,2024-01-11,,,,,Holiday Blitz,Email
user_228,2024-01-26,2024-01-26,,,,Holiday Blitz,Email
user_229,2024-01-23,2024-01-23,2024-01-26,2024-01-27,,Holiday Blitz,Facebook
user_230,2024-01-28,2024-01-28,2024-01-31,,,Winter Promo,Facebook
user_231,2024-01-25,2024-01-25,,,,Spring Launch,Instagram
user_232,2024-01-07,2024-01-07,2024-01-08,,,Winter Promo,Instagram
user_233,2024-01-30,2024-01-30,2024-02-02,2024-02-03,2024-02-06,Spring Launch,YouTube
user_234,2024-01-01,2024-01-01,,,,Spring Launch,YouTube
user_235,2024-01-01,2024-01-01,2024-01-04,2024-01-06,2024-01-07,Spring Launch,YouTube
user_236,2024-01-25,2024-01-25,2024-01-27,2024-01-29,,Winter Promo,Instagram
user_237,2024-01-27,,,,,Spring Launch,YouTube
user_238,2024-01-30,2024-01-30,2024-01-31,,,Winter Promo,YouTube
user_239,2024-01-25,2024-01-25,2024-01-28,2024-01-30,,Winter Promo,Instagram
user_240,2024-01-20,2024-01-20,2024-01-21,,,Spring Launch,Instagram
user_241,2024-01-13,2024-01-13,,,,Spring Launch,YouTube
user_242,2024-01-09,2024-01-09,,,,Spring Launch,YouTube
user_243,2024-01-03,2024-01-03,2024-01-04,2024-01-05,2024-01-08,Winter Promo,Email
user_244,2024-01-07,2024-01-07,,,,Spring Launch,Google Ads
user_245,2024-01-06,2024-01-06,,,,Spring Launch,Instagram
user_246,2024-01-08,2024-01-08,,,,Holiday Blitz,Google Ads
user_247,2024-01-27,2024-01-27,2024-01-30,,,Holiday Blitz,Instagram
user_248,2024-01-09,,,,,Holiday Blitz,TikTok
user_249,2024-01-30,2024-01-30,2024-02-01,,,Spring Launch,Email
user_250,2024-01-05,2024-01-05,2024-01-06,2024-01-08,,Winter Promo,Google Ads
user_251,2024-01-01,2024-01-01,2024-01-03,,,Holiday Blitz,Email
user_252,2024-01-19,2024-01-19,,,,Winter Promo,Facebook
user_253,2024-01-10,2024-01-10,2024-01-13,,,Holiday Blitz,Google Ads
user_254,2024-01-12,2024-01-12,2024-01-14,2024-01-16,,Holiday Blitz,Google Ads
user_255,2024-01-24,,,,,Winter Promo,TikTok
user_256,2024-01-15,2024-01-15,,,,Holiday Blitz,Google Ads
user_257,2024-01-27,2024-01-27,,,,Winter Promo,Facebook
user_258,2024-01-22,2024-01-22,2024-01-24,2024-01-25,2024-01-26,Spring Launch,Facebook
user_259,2024-01-24,2024-01-24,2024-01-27,,,Spring Launch,Email
user_260,2024-01-09,2024-01-09,,,,Winter Promo,Facebook
user_261,2024-01-20,2024-01-20,2024-01-21,2024-01-22,,Winter Promo,Instagram
user_262,2024-01-17,2024-01-17,,,,Spring Launch,YouTube
user_263,2024-01-30,2024-01-30,2024-01-31,2024-02-02,2024-02-03,Winter Promo,Google Ads
user_264,2024-01-17,2024-01-17,,,,Spring Launch,Email
user_265,2024-01-26,2024-01-26,2024-01-29,2024-01-30,2024-02-02,Spring Launch,Email
user_266,2024-01-20,2024-01-20,2024-01-22,2024-01-24,2024-01-28,Winter Promo,Email
user_267,2024-01-12,,,,,Holiday Blitz,Email
user_268,2024-01-30,2024-01-30,2024-01-31,2024-02-02,2024-02-05,Winter Promo,Google Ads
user_269,2024-01-07,,,,,Spring Launch,Email
user_270,2024-01-02,2024-01-02,,,,Holiday Blitz,Google Ads
user_271,2024-01-03,2024-01-03,2024-01-04,2024-01-06,2024-01-07,Holiday Blitz,Email
user_272,2024-01-17,2024-01-17,2024-01-20,2024-01-21,,Spring Launch,Email
user_273,2024-01-05,2024-01-05,2024-01-06,2024-01-08,,Holiday Blitz,YouTube
user_274,2024-01-17,2024-01-17,2024-01-19,2024-01-21,2024-01-25,Holiday Blitz,Instagram
user_275,2024-01-24,2024-01-24,2024-01-26,2024-01-27,2024-01-29,Winter Promo,Facebook
user_276,2024-01-17,2024-01-17,,,,Spring Launch,Facebook
user_277,2024-01-27,2024-01-27,,,,Holiday Blitz,Facebook
user_278,2024-01-17,2024-01-17,2024-01-19,,,Spring Launch,Instagram
user_279,2024-01-02,2024-01-02,2024-01-03,2024-01-04,,Winter Promo,Google Ads
user_280,2024-01-02,,,,,Winter Promo,Facebook
user_281,2024-01-28,2024-01-28,,,,Winter Promo,Facebook
user_282,2024-01-22,2024-01-22,2024-01-24,2024-01-26,,Holiday Blitz,Facebook
user_283,2024-01-23,2024-01-23,,,,Winter Promo,Google Ads
user_284,2024-01-05,2024-01-05,,,,Spring Launch,Instagram
user_285,2024-01-01,2024-01-01,2024-01-04,2024-01-06,,Winter Promo,Instagram
user_286,2024-01-01,2024-01-01,2024-01-03,,,Holiday Blitz,TikTok
user_287,2024-01-19,2024-01-19,2024-01-22,,,Winter Promo,TikTok
user_288,2024-01-30,2024-01-30,,,,Holiday Blitz,Google Ads
user_289,2024-01-02,2024-01-02,,,,Spring Launch,YouTube
user_290,2024-01-21,2024-01-21,,,,Winter Promo,Email
user_291,2024-01-12,,,,,Winter Promo,Google Ads
user_292,2024-01-26,2024-01-26,,,,Spring Launch,Email
user_293,2024-01-06,2024-01-06,,,,Spring Launch,Instagram
user_294,2024-01-23,2024-01-23,,,,Holiday Blitz,Email
user_295,2024-01-04,2024-01-04,2024-01-06,2024-01-08,,Winter Promo,TikTok
user_296,2024-01-23,,,,,Winter Promo,Facebook
user_297,2024-01-11,2024-01-11,2024-01-12,2024-01-13,,Winter Promo,Email
user_298,2024-01-24,2024-01-24,,,,Winter Promo,TikTok
user_299,2024-01-27,,,,,Spring Launch,Email
user_300,2024-01-17,2024-01-17,2024-01-20,2024-01-22,2024-01-24,Winter Promo,Instagram
user_301,2024-01-06,2024-01-06,,,,Winter Promo,YouTube
user_302,2024-01-24,2024-01-24,2024-01-25,2024-01-27,,Winter Promo,Email
user_303,2024-01-05,2024-01-05,,,,Holiday Blitz,Instagram
user_304,2024-01-20,2024-01-20,2024-01-22,2024-01-23,2024-01-26,Holiday Blitz,Facebook
user_305,2024-01-02,,,,,Holiday Blitz,Email
user_306,2024-01-06,,,,,Spring Launch,Email
user_307,2024-01-22,2024-01-22,2024-01-23,2024-01-24,2024-01-26,Spring Launch,Facebook
user_308,2024-01-11,2024-01-11,2024-01-14,2024-01-16,2024-01-20,Spring Launch,TikTok
user_309,2024-01-16,2024-01-16,2024-01-19,2024-01-21,2024-01-22,Winter Promo,TikTok
user_310,2024-01-16,,,,,Winter Promo,TikTok
user_311,2024-01-01,2024-01-01,2024-01-03,2024-01-05,2024-01-06,Spring Launch,Google Ads
user_312,2024-01-09,2024-01-09,,,,Holiday Blitz,YouTube
user_313,2024-01-28,2024-01-28,,,,Winter Promo,Facebook
user_314,2024-01-27,2024-01-27,,,,Holiday Blitz,TikTok
user_315,2024-01-06,2024-01-06,2024-01-07,2024-01-09,,Winter Promo,Facebook
user_316,2024-01-16,2024-01-16,,,,Winter Promo,Facebook
user_317,2024-01-29,2024-01-29,,,,Holiday Blitz,Google Ads
user_318,2024-01-03,2024-01-03,2024-01-05,2024-01-06,,Spring Launch,Facebook
user_319,2024-01-20,2024-01-20,2024-01-22,,,Holiday Blitz,Google Ads
user_320,2024-01-28,2024-01-28,2024-01-31,2024-02-02,,Spring Launch,YouTube
user_321,2024-01-27,,,,,Spring Launch,Google Ads
user_322,2024-01-04,2024-01-04,2024-01-07,2024-01-08,,Winter Promo,YouTube
user_323,2024-01-19,2024-01-19,,,,Winter Promo,YouTube
user_324,2024-01-26,2024-01-26,2024-01-29,,,Winter Promo,YouTube
user_325,2024-01-03,2024-01-03,,,,Spring Launch,Instagram
user_326,2024-01-19,2024-01-19,2024-01-20,2024-01-21,,Spring Launch,YouTube
user_327,2024-01-20,,,,,Holiday Blitz,Google Ads
user_328,2024-01-07,2024-01-07,2024-01-08,,,Winter Promo,Instagram
user_329,2024-01-20,2024-01-20,2024-01-22,2024-01-24,,Winter Promo,Facebook
user_330,2024-01-09,2024-01-09,,,,Spring Launch,Facebook
user_331,2024-01-01,,,,,Winter Promo,Email
user_332,2024-01-08,2024-01-08,2024-01-09,,,Spring Launch,YouTube
user_333,2024-01-07,2024-01-07,2024-01-09,2024-01-11,2024-01-12,Holiday Blitz,Email
user_334,2024-01-18,2024-01-18,2024-01-20,2024-01-22,,Holiday Blitz,YouTube
user_335,2024-01-08,2024-01-08,2024-01-09,2024-01-11,,Winter Promo,YouTube
user_336,2024-01-01,2024-01-01,2024-01-03,,,Holiday Blitz,TikTok
user_337,2024-01-11,,,,,Winter Promo,Google Ads
user_338,2024-01-28,2024-01-28,,,,Winter Promo,Google Ads
user_339,2024-01-25,2024-01-25,2024-01-28,2024-01-29,,Spring Launch,Facebook
user_340,2024-01-25,2024-01-25,2024-01-27,2024-01-29,2024-01-31,Spring Launch,Instagram
user_341,2024-01-18,,,,,Winter Promo,Facebook
user_342,2024-01-23,2024-01-23,2024-01-26,2024-01-27,2024-01-29,Holiday Blitz,YouTube
user_343,2024-01-30,2024-01-30,2024-02-02,2024-02-04,,Holiday Blitz,TikTok
user_344,2024-01-10,2024-01-10,2024-01-11,2024-01-12,2024-01-14,Winter Promo,Instagram
user_345,2024-01-03,2024-01-03,2024-01-05,2024-01-06,,Winter Promo,Email
user_346,2024-01-07,2024-01-07,2024-01-10,,,Holiday Blitz,YouTube
user_347,2024-01-28,2024-01-28,2024-01-31,2024-02-02,2024-02-04,Holiday Blitz,Google Ads
user_348,2024-01-16,,,,,Spring Launch,Facebook
user_349,2024-01-26,2024-01-26,2024-01-28,2024-01-30,2024-01-31,Spring Launch,Facebook
user_350,2024-01-16,2024-01-16,,,,Holiday Blitz,Email
user_351,2024-01-25,2024-01-25,,,,Spring Launch,Facebook
user_352,2024-01-20,2024-01-20,,,,Spring Launch,Facebook
user_353,2024-01-28,2024-01-28,2024-01-29,2024-01-31,2024-02-02,Winter Promo,Instagram
user_354,2024-01-17,2024-01-17,2024-01-18,2024-01-19,,Spring Launch,YouTube
user_355,2024-01-02,2024-01-02,2024-01-05,,,Spring Launch,Instagram
user_356,2024-01-01,2024-01-01,2024-01-04,2024-01-06,2024-01-07,Winter Promo,Instagram
user_357,2024-01-16,2024-01-16,,,,Holiday Blitz,Facebook
